title,subcategory,sub_sub_category
преамбула,"Настоящее Пользовательское соглашение, именуемое в дальнейшем «Соглашение», представляет собой публичную оферту в адрес любого совершеннолетнего физического лица, прошедшего Процедуру регистрации/ авторизацию в RUTUBE в порядке предусмотренном, Соглашением, и использующим какие-либо из предоставленных возможностей RUTUBE от Общества с ограниченной ответственностью «РУФОРМ» (ИНН 7714886605, ОГРН 1127747031840), зарегистрированного по адресу: 101000, г. Москва, ул. Мясницкая, д.46, стр. 7, офис I, комн. 16, именуемого в дальнейшем «Администрация», являющегося Стороной первого российского Меморандума о сотрудничестве в сфере охраны исключительных прав в эпоху развития цифровых технологий от «01» ноября 2018 года (далее по тексту – Меморандум), а также лицом, на законных основаниях управляющим RUTUBE и предоставляющим неограниченному кругу лиц (Пользователям/ Авторам и/или по отдельным письменным соглашениям - Правообладателям) возможность посредством сети Интернет через IP-адрес загружать, размещать, хранить, просматривать, промоутировать и осуществлять иные действия в отношении Контента.",[]
преамбула,"Пользователь обязуется использовать RUTUBE на условиях, определяемых настоящим Соглашением и Администрацией, а также в соответствии с нормами действующего законодательства Российской Федерации. Пользователь обязуется не вмешиваться в процесс работы RUTUBE, в т.ч. Эмбедов, не пытаться получить доступ к Контенту и функциям RUTUBE, способами, напрямую не предоставленными Администрацией.",[]
преамбула,"Использование Пользователем RUTUBE, его отдельных функций, любым способом и в любой форме в пределах его объявленных функциональных возможностей, включая, но не ограничиваясь этим: (1) регистрация и/или авторизация в RUTUBE; (2) доступ к RUTUBE с использованием Мобильного приложения; (3) иное использование функциональных возможностей RUTUBE, создает договор на условиях настоящего Соглашения и указанных в нем Обязательных документов, в соответствии с положениями ст.434, 435 и 437 Гражданского кодекса Российской Федерации. Оферта действительна в электронном виде и не требует бумажного оформления.",[]
преамбула,"Используя RUTUBE способами, предусмотренными Соглашением, Пользователь подтверждает, что:",1.4.1 Ознакомился с условиями настоящего Соглашения и указанных в нем Обязательных документов в полном объеме до начала использования RUTUBE;
преамбула,"Проставление отметки в соответствующем поле при регистрации / авторизации в RUTUBE (а равно, использование Логина и Пароля для доступа к RUTUBE) в совокупности с прочими конклюдентными действиями Пользователя (включая, но не ограничиваясь этим, прохождение Аутентификации в порядке п.3.. Соглашения или использования Электронного ключа, прохождения процедуры проверки ЭП Пользователя и пр., признаются Сторонами Аналогом собственноручной подписи Пользователя при оформлении (посредством программного обеспечения) электронных документов, направляемых от Пользователя в адрес Администрации (и/или обмениваемых между Сторонами), включая получение любых необходимых согласий (Согласие на обработку персональных данных; https://rutube.ru/info/personal/ и др.) и подтверждений от Пользователя, в том числе признается Сторонами соблюдением письменной формы сделки, с соблюдением требования о наличии подписи, в случае совершения лицом сделки с помощью электронных, либо иных технических средств, позволяющих воспроизвести на материальном носителе в неизменном виде содержание сделки, и указанные выше действия Пользователя считаются согласованным Сторонами способом. В части оговоренного порядка взаимодействия Сторон настоящее соглашение признается разновидностью электронного взаимодействия, а совершение действий направленных на акцептование настоящего Соглашения, признается Сторонами заключением разновидности соглашения между участниками электронного взаимодействия. Факт наличия в электронном документе электронной подписи Пользователя, а также информации, указывающей на лицо, от имени которого был создан и (или) отправлен электронный документ, подтверждается в форме фиксируемого (записываемый в базу данных Системы) Системой RUTUBE в соответствующем log-файле, уникального цифрового идентификатора (запись), неразрывно связанного в Системе с Учетной записью Пользователя.",[]
преамбула,"Соглашение (в том числе любая из его частей) и/ или указанные в нем Обязательные документы могут быть изменены Администрацией с уведомлением Пользователей в течение 3 (трёх) рабочих дней со дня внесения изменений и/или дополнений. Новая редакция Соглашения и/или указанных в нем Обязательных документов вступает в силу с момента размещения на Сайте, либо доведения до сведения Пользователя  в том числе с помощью СМС-сообщения, E-Mail сообщения, Push-уведомления, уведомления в личный кабинет Пользователя, либо иной удобной форме, по усмотрению Администрации, если иное не предусмотрено новой редакцией Соглашения и/или указанных в нем Обязательных документов. Действующая редакция настоящего Соглашения всегда находится на странице по адресу: https://rutube.ru/info/agreement/, действующие редакции Обязательных документов находятся по адресам, указанным в п  Соглашения.",[]
преамбула,"При обращении Пользователя к Администрации, Администрация вправе запросить у Пользователя документы, подтверждающие информацию, указанную в обращении, и право Пользователя на направление такого обращения. В случае не предоставления Пользователем запрошенных Администрацией документов, либо информации, Администрация вправе не осуществлять какие-либо действия в связи с обращением Пользователя.",[]
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.1 Приложение «А» к Генеральному пользовательскому соглашению RUTUBE «ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ», размещенное в сети Интернет по адресу: https://rutube.ru/info/term_agreement/;"
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.2 Приложение «Б» к Генеральному пользовательскому соглашению RUTUBE «Правила публикации общественно значимого контента на RUTUBE», размещенное в сети Интернет по адресу: https://rutube.ru/info/socially_important/;"
преамбула,"Обязательным условием получения Пользователем доступа к RUTUBE является принятие и соблюдение Пользователем требований и положений, изложенных в Соглашении и следующих документах:","1.8.3 Приложение «В» к Генеральному пользовательскому соглашению RUTUBE «Политика размещения рекламных и информационных материалов в RUTUBE и промоутирования пользовательского контента», размещенное в сети Интернет по адресу: https://rutube.ru/info/advpr_agreement/;"
